date,height,highlow
05/23/2018 11:32 AM,1.14,H
05/23/2018 04:11 PM,0.47,L
05/23/2018 10:45 PM,1.46,H
05/24/2018 05:08 AM,-0.07,L
05/24/2018 12:19 PM,1.41,H
05/24/2018 05:32 PM,0.47,L
05/24/2018 11:31 PM,1.31,H
05/25/2018 05:35 AM,-0.13,L
05/25/2018 01:00 PM,1.65,H
05/25/2018 06:38 PM,0.44,L
05/26/2018 12:11 AM,1.16,H
05/26/2018 06:02 AM,-0.18,L
05/26/2018 01:36 PM,1.85,H
05/26/2018 07:35 PM,0.4,L
05/27/2018 12:48 AM,1.02,H
05/27/2018 06:28 AM,-0.21,L
05/27/2018 02:11 PM,2,H
05/27/2018 08:24 PM,0.36,L
05/28/2018 01:23 AM,0.9,H
05/28/2018 06:55 AM,-0.22,L
05/28/2018 02:44 PM,2.1,H
05/28/2018 09:09 PM,0.33,L
05/29/2018 01:58 AM,0.79,H
05/29/2018 07:23 AM,-0.21,L
05/29/2018 03:18 PM,2.14,H
05/29/2018 09:53 PM,0.31,L
05/30/2018 02:32 AM,0.71,H
05/30/2018 07:53 AM,-0.17,L
05/30/2018 03:52 PM,2.14,H
05/30/2018 10:37 PM,0.31,L
05/31/2018 03:08 AM,0.64,H
05/31/2018 08:25 AM,-0.12,L
05/31/2018 04:29 PM,2.09,H
05/31/2018 11:23 PM,0.31,L
06/01/2018 03:46 AM,0.59,H
06/01/2018 08:59 AM,-0.04,L
06/01/2018 05:07 PM,2.02,H
06/02/2018 12:14 AM,0.32,L
06/02/2018 04:31 AM,0.55,H
06/02/2018 09:34 AM,0.06,L
06/02/2018 05:48 PM,1.91,H
06/03/2018 01:07 AM,0.31,L
06/03/2018 05:36 AM,0.52,H
06/03/2018 10:14 AM,0.18,L
06/03/2018 06:32 PM,1.8,H
06/04/2018 02:00 AM,0.29,L
06/04/2018 07:18 AM,0.55,H
06/04/2018 11:03 AM,0.32,L
06/04/2018 07:18 PM,1.68,H
06/05/2018 02:44 AM,0.25,L
06/05/2018 09:07 AM,0.66,H
06/05/2018 12:12 PM,0.46,L
06/05/2018 08:07 PM,1.57,H
06/06/2018 03:20 AM,0.19,L
06/06/2018 10:22 AM,0.85,H
06/06/2018 01:46 PM,0.57,L
06/06/2018 08:56 PM,1.45,H
06/07/2018 03:50 AM,0.11,L
06/07/2018 11:12 AM,1.1,H
06/07/2018 03:25 PM,0.62,L
06/07/2018 09:45 PM,1.34,H
06/08/2018 04:20 AM,0.01,L
06/08/2018 11:53 AM,1.37,H
06/08/2018 04:53 PM,0.6,L
06/08/2018 10:33 PM,1.22,H
06/09/2018 04:50 AM,-0.09,L
06/09/2018 12:31 PM,1.66,H
06/09/2018 06:06 PM,0.53,L
06/09/2018 11:20 PM,1.1,H
06/10/2018 05:23 AM,-0.19,L
06/10/2018 01:09 PM,1.94,H
06/10/2018 07:08 PM,0.45,L
06/11/2018 12:07 AM,0.99,H
06/11/2018 05:58 AM,-0.28,L
06/11/2018 01:48 PM,2.19,H
06/11/2018 08:05 PM,0.36,L
06/12/2018 12:53 AM,0.89,H
06/12/2018 06:35 AM,-0.35,L
06/12/2018 02:29 PM,2.37,H
06/12/2018 08:58 PM,0.3,L
06/13/2018 01:41 AM,0.8,H
06/13/2018 07:15 AM,-0.38,L
06/13/2018 03:12 PM,2.49,H
06/13/2018 09:51 PM,0.25,L
06/14/2018 02:30 AM,0.73,H
06/14/2018 07:57 AM,-0.36,L
06/14/2018 03:58 PM,2.52,H
06/14/2018 10:44 PM,0.23,L
06/15/2018 03:23 AM,0.68,H
06/15/2018 08:42 AM,-0.29,L
06/15/2018 04:45 PM,2.46,H
06/15/2018 11:39 PM,0.21,L
06/16/2018 04:24 AM,0.64,H
06/16/2018 09:30 AM,-0.16,L
06/16/2018 05:33 PM,2.33,H
06/17/2018 12:34 AM,0.19,L
06/17/2018 05:39 AM,0.64,H
06/17/2018 10:22 AM,0.02,L
06/17/2018 06:24 PM,2.15,H
06/18/2018 01:28 AM,0.16,L
06/18/2018 07:11 AM,0.7,H
06/18/2018 11:24 AM,0.24,L
06/18/2018 07:15 PM,1.93,H
06/19/2018 02:18 AM,0.11,L
06/19/2018 08:48 AM,0.87,H
06/19/2018 12:41 PM,0.46,L
06/19/2018 08:08 PM,1.7,H
06/20/2018 03:03 AM,0.06,L
06/20/2018 10:12 AM,1.12,H
06/20/2018 02:22 PM,0.63,L
06/20/2018 09:01 PM,1.47,H
06/21/2018 03:42 AM,0,L
06/21/2018 11:15 AM,1.39,H
06/21/2018 04:15 PM,0.69,L
06/21/2018 09:53 PM,1.26,H
06/22/2018 04:17 AM,-0.05,L
06/22/2018 12:04 PM,1.65,H
06/22/2018 05:53 PM,0.65,L
06/22/2018 10:44 PM,1.08,H
06/23/2018 04:49 AM,-0.09,L
06/23/2018 12:45 PM,1.87,H
06/23/2018 07:05 PM,0.57,L
